33c93418-809c-81e1-a924-d9327b773fa1	Dropout: training vs inference (scale by 1-p)	dropout
33c93418-809c-818f-a53a-da85089fbfff	DropConnect	dropconnect
33c93418-809c-81e1-bacd-d3b4c5bb2b49	Inverted Dropout	inverted_dropout
33c93418-809c-81d5-9fec-c3a56d834d1c	Spatial Dropout (for CNNs)	spatial_dropout
33c93418-809c-81ed-84b1-d48e92eb850a	DropPath / Stochastic Depth	droppath_stochastic_depth
33c93418-809c-814d-95ae-c7233dd31be4	Batch Normalization: internal covariate shift, training vs inference, momentum, γ and β	batch_normalization
33c93418-809c-81f3-ab0e-e8bb64c4628d	Layer Normalization: NLP-friendly, sequence-length independent	layer_normalization
33c93418-809c-8170-95b5-e5701d31252c	Instance Normalization (style transfer)	instance_normalization
33c93418-809c-81af-b679-cd28c1628231	RMS Norm (LLaMA)	rms_norm
33c93418-809c-81ca-9537-d24de55caab9	Pre-LN vs Post-LN transformers: stability differences	pre_ln_vs_post_ln_transformers
33c93418-809c-81df-ab55-d25338e39a71	Zero initialization pitfall	zero_initialization_pitfall
33c93418-809c-817c-9b94-e616205e85f6	1D, 2D, 3D convolution	1d_2d_3d_convolution
33c93418-809c-81a6-bd2a-fcdcd71c2127	Kernel / filter, stride, padding (valid, same, full)	kernel_filter_stride_padding
33c93418-809c-8175-8f9d-e946850baefc	Output size calculation	output_size_calculation
33c93418-809c-817f-aea2-e2fbfe379de2	Receptive field	receptive_field
33c93418-809c-81c2-a821-f88f13ef7472	Depthwise separable convolution (MobileNet)	depthwise_separable_convolution
33c93418-809c-8154-b0e4-e58b7da4a4f2	Dilated / atrous convolution (DeepLab)	dilated_atrous_convolution
33c93418-809c-810f-a530-f1c274808e39	Transposed convolution (deconvolution) for upsampling	transposed_convolution
33c93418-809c-8159-a906-c9b110c2f72d	Grouped convolution (AlexNet, ResNeXt)	grouped_convolution
33c93418-809c-8185-8a12-f2676b6ed739	Deformable convolution	deformable_convolution
33c93418-809c-817c-9b94-e616205e85f6	1D, 2D, 3D convolution	1d_2d_3d_convolution
33c93418-809c-817f-aea2-e2fbfe379de2	Receptive field	receptive_field
33c93418-809c-8159-a906-c9b110c2f72d	Grouped convolution (AlexNet, ResNeXt)	grouped_convolution
33c93418-809c-8185-8a12-f2676b6ed739	Deformable convolution	deformable_convolution
33c93418-809c-8112-8731-e0c2a18f3ea3	1×1 convolution (Network in Network, dimensionality reduction)	1_1_convolution
33c93418-809c-810f-a2b9-d2c81c8b6f57	Max pooling, average pooling, global average pooling (GAP)	max_pooling_average_pooling_global_average_pooli
33c93418-809c-8155-884a-e6ebf35ecd73	Strided convolution as alternative to pooling	strided_convolution_as_alternative_to_pooling
33c93418-809c-8134-9460-dbd27161ae46	Adaptive pooling	adaptive_pooling
33c93418-809c-81ad-8690-e97074444a8f	Spatial pyramid pooling (SPPNet)	spatial_pyramid_pooling
33c93418-809c-811d-aee7-eeb8d2023a5d	LeNet-5 (1998): pioneering CNN for digits	lenet_5
33c93418-809c-816f-9199-f293f972949d	AlexNet (2012): deep CNN, ReLU, dropout, GPU training	alexnet
33c93418-809c-8121-82e3-e1f3636b2070	VGGNet (2014): depth with small 3×3 filters	vggnet
33c93418-809c-81ff-8c3b-df8ac118b424	GoogLeNet / Inception v1-v4 (2014-2017): inception modules, factorized convolutions, auxiliary classifiers	googlenet_inception_v1_v4
33c93418-809c-81d5-98e2-d7be1edf41ac	ResNet (2015): residual connections / skip connections, identity mapping, ResNet-50/101/152	resnet
33c93418-809c-81f6-bdc7-fdc3515757be	ResNeXt (2017): cardinality dimension, grouped convolutions	resnext
33c93418-809c-8181-8e76-ff09658de263	DenseNet (2017): dense connectivity, feature reuse	densenet
33c93418-809c-8148-b3c9-c4fadca5cb17	Squeeze-and-Excitation Networks (SENet, 2018): channel attention	squeeze_and_excitation_networks
33c93418-809c-818a-9679-cf717c0747a6	MobileNet v1/v2/v3: depthwise separable convolutions, inverted residuals, squeeze-excite, neural architecture search	mobilenet_v1_v2_v3
33c93418-809c-8145-9fa3-e9734176dbea	ShuffleNet v1/v2: channel shuffle, efficient group convolution	shufflenet_v1_v2
