a442f7abd70862ddd	ScaNN
a52f999fdeaf252e2	Parameter learning (MLE, MAP)
aa9d47b6a7dbac246	Structure learning (score/constraint)
a456c34ede0e5abbb	Exact inference (VE, BP)
a7156947ae9606bfe	Approximate inference (loopy BP, sampling)
a983f8019b40e147f	HMM states/transitions/emissions
a8504b3cecba07c49	Viterbi algorithm
a84a98ece14c53f87	Baum-Welch (EM for HMM)
a5575c2d66ef5b816	Undirected graphical models (MRF)
a26cd16e78e36e7d0	Linear-chain CRF
a81c5f5bcc33133bc	CRF vs HMM (global norm)
acb64ed5480daca53	NER/POS sequence labeling
a0d63476751aa4e3a	K-Means limitations
a8e00515e6c7a197c	GMM vs K-Means
ac9169ed52bec0ddb	BIRCH, OPTICS
aa589759e8a78e5b6	PCA
a0c8e69a27937eb9f	t-SNE
adf983b2e851a58ce	UMAP
a00f70be81948464d	LDA (Linear Discriminant Analysis)
a28bdc5a472165160	ECOD, PyOD
