33c93418-809c-819d-939d-df2f4c4c6a00	β-VAE: disentangled representations, β hyperparameter	vae
33c93418-809c-8123-ba09-d056c7c0070a	VQ-VAE (Vector Quantized VAE): discrete latent codes, codebook, straight-through estimator	vq_vae
33c93418-809c-810c-b0bd-c568bc1e4e1f	VQ-VAE-2: hierarchical latents	vq_vae_2
33c93418-809c-8156-a049-cbbe31119a01	Conditional VAE (CVAE)	conditional_vae
33c93418-809c-8181-80c2-d97803c9852d	Adversarial autoencoders (AAE)	adversarial_autoencoders
33c93418-809c-8127-a7c8-cff330901e41	WAE (Wasserstein Autoencoder)	wae
33c93418-809c-814a-a4cc-d88d33ba4289	Vanilla GAN: generator, discriminator, minimax game, JS divergence	vanilla_gan
33c93418-809c-8118-8f91-e1bf4f0de509	Training challenges: mode collapse, training instability, vanishing gradients	training_challenges
33c93418-809c-818e-98c5-f8cd1f2ab5e1	DCGAN: architectural guidelines (BatchNorm, strided convolutions, LeakyReLU)	dcgan
33c93418-809c-812e-a0fd-ee69fc7c94af	WGAN: Wasserstein distance, weight clipping	wgan
33c93418-809c-81ca-aef7-ee3d7f5df0fb	WGAN-GP: gradient penalty for Lipschitz constraint	wgan_gp
33c93418-809c-8143-8e04-c2f5b68a77f0	Spectral Normalization GAN (SN-GAN)	spectral_normalization_gan
33c93418-809c-8118-8e4c-de3f68f3350d	Progressive GAN: growing resolution during training	progressive_gan
33c93418-809c-8120-9dcf-dc96d1a9c488	StyleGAN, StyleGAN2, StyleGAN3: style-based generator, mapping network, AdaIN, equivariance	stylegan_stylegan2_stylegan3
33c93418-809c-8148-9a8b-f332825254e6	BigGAN: large-scale class-conditional generation, truncation trick	biggan
33c93418-809c-81c3-9ba9-f6cae112ab07	Conditional GAN (cGAN): class-conditional generation, projection discriminator	conditional_gan
33c93418-809c-81e2-9d36-cb622ce98d1e	Pix2Pix: paired image-to-image translation, PatchGAN discriminator	pix2pix
33c93418-809c-81c5-9da4-cac256a6e972	CycleGAN: unpaired image translation, cycle consistency loss	cyclegan
33c93418-809c-81c4-803a-e1b8dd04ce75	StarGAN: multi-domain translation	stargan
33c93418-809c-81c5-b062-c789aeb038b4	GAN evaluation metrics: FID (Fréchet Inception Distance), IS (Inception Score), KID, precision/recall, LPIPS	gan_evaluation_metrics
